Course Name,Duration,Starting Date,Language,Degree Level,Tuition fee
Geochemistry,4 years,September,Chinese,Bachelor,2240
Geophysics,4 years,September,Chinese,Bachelor,2240
Exploration Technology and Engineering,4 years,September,Chinese,Bachelor,2240
Resource Exploration Engineering,4 years,September,Chinese,Bachelor,2240
Geology,4 years,September,Chinese,Bachelor,2240
Petroleum Engineering,4 years,September,Chinese,Bachelor,2240
Chemistry,4 years,September,Chinese,Bachelor,2240
Applied Chemistry,4 years,September,Chinese,Bachelor,2240
Polymer Materials and Engineering,4 years,September,Chinese,Bachelor,2240
Environmental Engineering,4 years,September,Chinese,Bachelor,2240
Chemical Engineering and Process,4 years,September,Chinese,Bachelor,2240
Energy Chemical Engineering,4 years,September,Chinese,Bachelor,2240
Mechanical Design,4 years,September,Chinese,Bachelor,2240
Manufacture and Automation,4 years,September,Chinese,Bachelor,2240
Metal Material Engineering,4 years,September,Chinese,Bachelor,2240
Process Equipment and Control Engineering,4 years,September,Chinese,Bachelor,2240
Engineering Mechanics,4 years,September,Chinese,Bachelor,2240
Vehicle Engineering,4 years,September,Chinese,Bachelor,2240
Civil Engineering,4 years,September,Chinese,Bachelor,2240
Technology and Instrument of Measurement and Control,4 years,September,Chinese,Bachelor,2240
Electrical Engineering and Automation,4 years,September,Chinese,Bachelor,2240
Automation,4 years,September,Chinese,Bachelor,2240
Communication Engineering,4 years,September,Chinese,Bachelor,2240
Software Engineering,4 years,September,Chinese,Bachelor,2240
Business Administration,4 years,September,Chinese,Bachelor,2240
Applied Physics,4 years,September,Chinese,Bachelor,2240
Electronic Information Engineering,4 years,September,Chinese,Bachelor,2240
Electronic Science and Technology,4 years,September,Chinese,Bachelor,2240
Photoelectric Information Science and Engineering,4 years,September,Chinese,Bachelor,2240
New Energy Materials and Devices,4 years,September,Chinese,Bachelor,2240
Chinese Language and Literature,4 years,September,Chinese,Bachelor,2240
Choreographer,4 years,September,Chinese,Bachelor,2240
Petroleum Engineering,4 years,September,English,Bachelor,2800
Computer Science and Technology,4 years,September,English,Bachelor,2800
Civil Engineering,4 years,September,English,Bachelor,2800
Manufacture and Automation,4 years,September,English,Bachelor,2800
Business Administration,4 years,September,English,Bachelor,2800
Resource Exploration Engineering,4 years,September,English,Bachelor,2800
Chemical Engineering and Process,4 years,September,English,Bachelor,2800
Mineral Survey and Exploration,2-3 years,September,Chinese,Master,2800
Earth Exploration and Information Technology,2-3 years,September,Chinese,Master,2800
Geological Engineering,2-3 years,September,Chinese,Master,2800
Solid Geophysics,2-3 years,September,Chinese,Master,2800
Mineralogy,2-3 years,September,Chinese,Master,2800
Petrology,2-3 years,September,Chinese,Master,2800
Ore Deposits Geology,2-3 years,September,Chinese,Master,2800
Geochemistry,2-3 years,September,Chinese,Master,2800
Oil and Gas Engineering,2-3 years,September,Chinese,Master,2800
Oil and Gas Field Development Engineering,2-3 years,September,Chinese,Master,2800
Oil and Gas Storage and Transportation Engineering,2-3 years,September,Chinese,Master,2800
Petroleum and Natural Gas Engineering,2-3 years,September,Chinese,Master,2800
Chemical engineering and technology,2-3 years,September,Chinese,Master,2800
Environmental engineering,2-3 years,September,Chinese,Master,2800
Chemistry,2-3 years,September,Chinese,Master,2800
Mechanics,2-3 years,September,Chinese,Master,2800
Mechanical Engineering,2-3 years,September,Chinese,Master,2800
Safety Science and Engineering,2-3 years,September,Chinese,Master,2800
Power Engineering and Engineering Thermal Physic,2-3 years,September,Chinese,Master,2800
Materials Science,2-3 years,September,Chinese,Master,2800
Oil and Gas Field Mechanical Engineering,2-3 years,September,Chinese,Master,2800
Dynamic Engineering and Engineering Thermal Physics,2-3 years,September,Chinese,Master,2800
Civil Engineering,2-3 years,September,Chinese,Master,2800
Oil and Chemical Disaster Prevention and Reduction Engineering,2-3 years,September,Chinese,Master,2800
Control Science and Engineering,2-3 years,September,Chinese,Master,2800
Electrical Engineering,2-3 years,September,Chinese,Master,2800
Information and Communication Engineering,2-3 years,September,Chinese,Master,2800
Oil and Gas Information and Control Engineering,2-3 years,September,Chinese,Master,2800
Computer Science and Technology,2-3 years,September,Chinese,Master,2800
Software Engineering,2-3 years,September,Chinese,Master,2800
Educational Technology,2-3 years,September,Chinese,Master,2800
Computer Technology and Resource Information Engineering,2-3 years,September,Chinese,Master,2800
Economy and Management of Oil and Gas Resources,2-3 years,September,Chinese,Master,2800
Accounting,2-3 years,September,Chinese,Master,2800
Business Administration,2-3 years,September,Chinese,Master,2800
Instrument Science and Technology,2-3 years,September,Chinese,Master,2800
Applied Mathematics,2-3 years,September,Chinese,Master,2800
Pedagogics,2-3 years,September,Chinese,Master,2800
Mechanics,2-3 years,September,English,Master,3360
